pivot,inflection,P-I similarity,category
atakować,atakuję,0.5325024076692552,V;PRS;1;SG
atakować,atakuje,0.6394711327082337,V;PRS;3;SG
atakować,będą atakowali,0.3975286962786314,V;FUT;3;PL;MASC;HUM
atakować,będą atakowały,0.3975983482526926,V;FUT;3;PL
atakować,będę atakowała,0.3912350633115659,V;FUT;1;SG;FEM
atakować,będę atakował,0.3867333465847663,V;FUT;1;SG;MASC
atakować,będzie atakowała,0.3395359583198876,V;FUT;3;SG;FEM
atakować,będzie atakowało,0.331783989737539,V;FUT;3;SG;NEUT
atakować,będzie atakował,0.3457351831211204,V;FUT;3;SG;MASC
atakować,będziecie atakowali,0.3455619768993885,V;FUT;2;PL;MASC;HUM
atakować,będziecie atakowały,0.3431684397918162,V;FUT;2;PL
atakować,będziemy atakowali,0.2935794987247069,V;FUT;1;PL;MASC;HUM
atakować,będziemy atakowały,0.2950805108362182,V;FUT;1;PL
atakować,będziesz atakowała,0.36810801534983173,V;FUT;2;SG;FEM
atakować,będziesz atakował,0.3679877201064795,V;FUT;2;SG;MASC
badać,badacie,0.3858263561450702,V;PRS;2;PL
badać,badają,0.5949323224724258,V;PRS;3;PL
badać,badałam,0.5277709870543963,V;PST;1;SG;FEM
badać,badałaś,0.49640418508835726,V;PST;2;SG;FEM
badać,badała,0.599609924438771,V;PST;3;SG;FEM
badać,badałem,0.5272944892220951,V;PST;1;SG;MASC
badać,badałeś,0.4868977227294843,V;PST;2;SG;MASC
badać,badaliście,0.41457288600988973,V;PST;2;PL;MASC;HUM
badać,badaliśmy,0.5302523767053168,V;PST;1;PL;MASC;HUM
badać,badali,0.5892115440112775,V;PST;3;PL;MASC;HUM
badać,badało,0.5516992493479635,V;PST;3;SG;NEUT
badać,badał,0.5989481642728182,V;PST;3;SG;MASC
badać,badałyście,0.393151634133051,V;PST;2;PL
badać,badałyśmy,0.43788609662486744,V;PST;1;PL
badać,badały,0.5798620607446249,V;PST;3;PL
badać,badam,0.525035262983878,V;PRS;1;SG
badać,badamy,0.572428146278246,V;PRS;1;PL
badać,badasz,0.5056432032504052,V;PRS;2;SG
badać,bada,0.6167343782146782,V;PRS;3;SG
badać,będą badali,0.3135179752915882,V;FUT;3;PL;MASC;HUM
badać,będą badały,0.3258982846467918,V;FUT;3;PL
badać,będę badała,0.36832584483683606,V;FUT;1;SG;FEM
badać,będę badał,0.35615248030682256,V;FUT;1;SG;MASC
badać,będzie badała,0.3327702199228011,V;FUT;3;SG;FEM
badać,będzie badało,0.3243579466400188,V;FUT;3;SG;NEUT
badać,będzie badał,0.3301527285679441,V;FUT;3;SG;MASC
badać,będziecie badali,0.29552617184654806,V;FUT;2;PL;MASC;HUM
badać,będziecie badały,0.30596413150131485,V;FUT;2;PL
badać,będziemy badali,0.25339630040493955,V;FUT;1;PL;MASC;HUM
badać,będziemy badały,0.2660862184103058,V;FUT;1;PL
badać,będziesz badała,0.3190097416077857,V;FUT;2;SG;FEM
badać,będziesz badał,0.31283681379173744,V;FUT;2;SG;MASC
banglać,banglacie,0.5496374998666693,V;PRS;2;PL
banglać,banglają,0.6067411899488079,V;PRS;3;PL
banglać,banglałam,0.5959966879012943,V;PST;1;SG;FEM
banglać,banglałaś,0.5459873191980492,V;PST;2;SG;FEM
banglać,banglała,0.6304276068654315,V;PST;3;SG;FEM
banglać,banglałem,0.4884270477191377,V;PST;1;SG;MASC
banglać,banglałeś,0.4722933196136987,V;PST;2;SG;MASC
banglać,banglaliście,0.48459967681605887,V;PST;2;PL;MASC;HUM
banglać,banglaliśmy,0.5398135507936954,V;PST;1;PL;MASC;HUM
banglać,banglali,0.640388395219083,V;PST;3;PL;MASC;HUM
banglać,banglało,0.6562035146150109,V;PST;3;SG;NEUT
banglać,banglał,0.7518676482524196,V;PST;3;SG;MASC
banglać,banglałyście,0.49580601917442424,V;PST;2;PL
banglać,banglałyśmy,0.5321213583194249,V;PST;1;PL
banglać,banglały,0.6659783663218327,V;PST;3;PL
banglać,banglam,0.6291649195054788,V;PRS;1;SG
banglać,banglamy,0.60387797545182,V;PRS;1;PL
banglać,banglasz,0.5768779274735493,V;PRS;2;SG
banglać,bangla,0.5427459610133419,V;PRS;3;SG
banglać,będą banglali,0.2752664976000766,V;FUT;3;PL;MASC;HUM
banglać,będą banglały,0.28236377809678403,V;FUT;3;PL
banglać,będę banglała,0.44226115715372594,V;FUT;1;SG;FEM
banglać,będę banglał,0.4888462545157345,V;FUT;1;SG;MASC
banglać,będzie banglała,0.3540894710514786,V;FUT;3;SG;FEM
banglać,będzie banglało,0.37338950628844625,V;FUT;3;SG;NEUT
banglać,będzie banglał,0.3880088727674921,V;FUT;3;SG;MASC
banglać,będziecie banglali,0.3308169582722529,V;FUT;2;PL;MASC;HUM
banglać,będziecie banglały,0.3402803322447141,V;FUT;2;PL
banglać,będziemy banglali,0.30112167110856647,V;FUT;1;PL;MASC;HUM
banglać,będziemy banglały,0.30821651468380884,V;FUT;1;PL
banglać,będziesz banglała,0.2996786243698618,V;FUT;2;SG;FEM
banglać,będziesz banglał,0.3116677948210187,V;FUT;2;SG;MASC
bankrutować,bankrutowałam,0.6386376214535354,V;PST;1;SG;FEM
bankrutować,bankrutowałaś,0.6080788805051017,V;PST;2;SG;FEM
bankrutować,bankrutowała,0.6707492488642964,V;PST;3;SG;FEM
bankrutować,bankrutowałem,0.6543948577342026,V;PST;1;SG;MASC
bankrutować,bankrutowałeś,0.6135779932253788,V;PST;2;SG;MASC
bankrutować,bankrutowaliście,0.6220235809548915,V;PST;2;PL;MASC;HUM
bankrutować,bankrutowaliśmy,0.6337169642806797,V;PST;1;PL;MASC;HUM
bankrutować,bankrutowali,0.6817060275977093,V;PST;3;PL;MASC;HUM
bankrutować,bankrutowało,0.6532926358302003,V;PST;3;SG;NEUT
bankrutować,bankrutował,0.7017223074932986,V;PST;3;SG;MASC
bankrutować,bankrutowałyście,0.5490684938235202,V;PST;2;PL
bankrutować,bankrutowałyśmy,0.581157103533611,V;PST;1;PL
bankrutować,bankrutowały,0.6945713190428335,V;PST;3;PL
bankrutować,bankrutują,0.6405862598773301,V;PRS;3;PL
bankrutować,bankrutujecie,0.5314432007822807,V;PRS;2;PL
bankrutować,bankrutujemy,0.5842937439639995,V;PRS;1;PL
bankrutować,bankrutujesz,0.5722554826454156,V;PRS;2;SG
bankrutować,bankrutuję,0.5815675630923379,V;PRS;1;SG
bankrutować,bankrutuje,0.6215909156700444,V;PRS;3;SG
bankrutować,będą bankrutowali,0.4698582968208457,V;FUT;3;PL;MASC;HUM
bankrutować,będą bankrutowały,0.46878523062885546,V;FUT;3;PL
bankrutować,będę bankrutowała,0.5252012556359695,V;FUT;1;SG;FEM
bankrutować,będę bankrutował,0.5306052496875697,V;FUT;1;SG;MASC
bankrutować,będzie bankrutowała,0.4382555745730863,V;FUT;3;SG;FEM
bankrutować,będzie bankrutowało,0.4436689361695667,V;FUT;3;SG;NEUT
bankrutować,będzie bankrutował,0.45324014899778153,V;FUT;3;SG;MASC
bankrutować,będziecie bankrutowali,0.45584038209269906,V;FUT;2;PL;MASC;HUM
bankrutować,będziecie bankrutowały,0.45047988225167934,V;FUT;2;PL
bankrutować,będziemy bankrutowali,0.44365211648933556,V;FUT;1;PL;MASC;HUM
bankrutować,będziemy bankrutowały,0.4394462067654987,V;FUT;1;PL
bankrutować,będziesz bankrutowała,0.46299882652457414,V;FUT;2;SG;FEM
bankrutować,będziesz bankrutował,0.4741351910191457,V;FUT;2;SG;MASC
bawić,bawią,0.6454189417069832,V;PRS;3;PL
bawić,bawicie,0.5806698473062658,V;PRS;2;PL
bawić,bawię,0.6156177562299616,V;PRS;1;SG
bawić,bawiłam,0.5806212473495305,V;PST;1;SG;FEM
bawić,bawiłaś,0.5139761162685453,V;PST;2;SG;FEM
bawić,bawiła,0.5832958371761027,V;PST;3;SG;FEM
bawić,bawiłem,0.5560286869652807,V;PST;1;SG;MASC
bawić,bawiłeś,0.5263795870894116,V;PST;2;SG;MASC
bawić,bawiliście,0.48794746652552523,V;PST;2;PL;MASC;HUM
bawić,bawiliśmy,0.5647351883059133,V;PST;1;PL;MASC;HUM
bawić,bawili,0.5927843270584917,V;PST;3;PL;MASC;HUM
bawić,bawiło,0.555547384874153,V;PST;3;SG;NEUT
bawić,bawił,0.620030578693288,V;PST;3;SG;MASC
bawić,bawiłyście,0.4578945186537171,V;PST;2;PL
bawić,bawiłyśmy,0.5064106491737876,V;PST;1;PL
bawić,bawiły,0.5618902938568492,V;PST;3;PL
bawić,bawimy,0.6066185082805182,V;PRS;1;PL
bawić,bawisz,0.5845974028880345,V;PRS;2;SG
bawić,bawi,0.6230060594097305,V;PRS;3;SG
bawić,będą bawili,0.29252666758104473,V;FUT;3;PL;MASC;HUM
bawić,będą bawiły,0.28396936131244654,V;FUT;3;PL
bawić,będę bawiła,0.3215741356373343,V;FUT;1;SG;FEM
bawić,będę bawił,0.29761361606105063,V;FUT;1;SG;MASC
bawić,będzie bawiła,0.31415196209170637,V;FUT;3;SG;FEM
bawić,będzie bawiło,0.3048454625453789,V;FUT;3;SG;NEUT
bawić,będzie bawił,0.3015411289776957,V;FUT;3;SG;MASC
bawić,będziecie bawili,0.29177967585365416,V;FUT;2;PL;MASC;HUM
bawić,będziecie bawiły,0.2848942585427119,V;FUT;2;PL
bawić,będziemy bawili,0.25761308153405615,V;FUT;1;PL;MASC;HUM
bawić,będziemy bawiły,0.24976005774527532,V;FUT;1;PL
bawić,będziesz bawiła,0.2909841102088375,V;FUT;2;SG;FEM
bawić,będziesz bawił,0.27384916339949594,V;FUT;2;SG;MASC
bawić się,bawią,0.49878217263647195,V;PRS;3;PL
bawić się,bawicie,0.47109881452995417,V;PRS;2;PL
bawić się,bawię,0.529739932606357,V;PRS;1;SG
bawić się,bawiłam,0.5084989078213403,V;PST;1;SG;FEM
bawić się,bawiłaś,0.4923742015911501,V;PST;2;SG;FEM
bawić się,bawiła,0.4789899744492072,V;PST;3;SG;FEM
bawić się,bawiłem,0.4656634060493079,V;PST;1;SG;MASC
bawić się,bawiłeś,0.5301286735064901,V;PST;2;SG;MASC
bawić się,bawiliście,0.43015823408386167,V;PST;2;PL;MASC;HUM
bawić się,bawiliśmy,0.4626771035015257,V;PST;1;PL;MASC;HUM
bawić się,bawili,0.468012098079463,V;PST;3;PL;MASC;HUM
bawić się,bawiło,0.43717522859815383,V;PST;3;SG;NEUT
bawić się,bawił,0.4987092562323461,V;PST;3;SG;MASC
bawić się,bawiłyście,0.46825813411853767,V;PST;2;PL
bawić się,bawiłyśmy,0.42934590872376044,V;PST;1;PL
bawić się,bawiły,0.46324555968018466,V;PST;3;PL
bawić się,bawimy,0.5020868738218633,V;PRS;1;PL
bawić się,bawisz,0.47296595499912286,V;PRS;2;SG
bawić się,bawi,0.5173905729742345,V;PRS;3;SG
bawić się,będą bawili,0.3792165440722506,V;FUT;3;PL;MASC;HUM
bawić się,będą bawiły,0.3656044647499316,V;FUT;3;PL
bawić się,będę bawiła,0.4075385965127587,V;FUT;1;SG;FEM
bawić się,będę bawił,0.38494484227157644,V;FUT;1;SG;MASC
bawić się,będzie bawiła,0.40423918140393544,V;FUT;3;SG;FEM
bawić się,będzie bawiło,0.3969034710800966,V;FUT;3;SG;NEUT
bawić się,będzie bawił,0.3952339866477388,V;FUT;3;SG;MASC
bawić się,będziecie bawili,0.3472508303928551,V;FUT;2;PL;MASC;HUM
bawić się,będziecie bawiły,0.33687100633863665,V;FUT;2;PL
bawić się,będziemy bawili,0.342645994843759,V;FUT;1;PL;MASC;HUM
bawić się,będziemy bawiły,0.3299134361171936,V;FUT;1;PL
bawić się,będziesz bawiła,0.3724291886260075,V;FUT;2;SG;FEM
bawić się,będziesz bawił,0.35786959274164154,V;FUT;2;SG;MASC
bębnić,bębnią,0.6977651988401534,V;PRS;3;PL
bębnić,bębnicie,0.6815201227952338,V;PRS;2;PL
bębnić,bębnię,0.7285316032642257,V;PRS;1;SG
bębnić,bębniłam,0.6115794581099023,V;PST;1;SG;FEM
bębnić,bębniłaś,0.59468620355507,V;PST;2;SG;FEM
bębnić,bębniła,0.6324499821917791,V;PST;3;SG;FEM
bębnić,bębniłem,0.660293975303232,V;PST;1;SG;MASC
bębnić,bębniłeś,0.6288081747902099,V;PST;2;SG;MASC
bębnić,bębniliście,0.6013320796543339,V;PST;2;PL;MASC;HUM
bębnić,bębniliśmy,0.6105432499595099,V;PST;1;PL;MASC;HUM
bębnić,bębnili,0.6148395298937182,V;PST;3;PL;MASC;HUM
bębnić,bębniło,0.6369765873418167,V;PST;3;SG;NEUT
bębnić,bębnił,0.6781830579579406,V;PST;3;SG;MASC
bębnić,bębniłyście,0.5286947794313833,V;PST;2;PL
bębnić,bębniłyśmy,0.5512038218368862,V;PST;1;PL
bębnić,bębniły,0.6280971155503433,V;PST;3;PL
bębnić,bębnimy,0.6915467139694298,V;PRS;1;PL
bębnić,bębnisz,0.6791647395148086,V;PRS;2;SG
bębnić,bębni,0.6971909647239118,V;PRS;3;SG
bębnić,będą bębnili,0.32057722355268503,V;FUT;3;PL;MASC;HUM
bębnić,będą bębniły,0.33576330605848903,V;FUT;3;PL
bębnić,będę bębniła,0.37327536406615813,V;FUT;1;SG;FEM
bębnić,będę bębnił,0.37794157620427904,V;FUT;1;SG;MASC
bębnić,będzie bębniła,0.3317352868671153,V;FUT;3;SG;FEM
bębnić,będzie bębniło,0.34007375687655994,V;FUT;3;SG;NEUT
bębnić,będzie bębnił,0.3462122985830065,V;FUT;3;SG;MASC
bębnić,będziecie bębnili,0.29419845803586875,V;FUT;2;PL;MASC;HUM
bębnić,będziecie bębniły,0.31153829605089145,V;FUT;2;PL
bębnić,będziemy bębnili,0.28110714403598913,V;FUT;1;PL;MASC;HUM
bębnić,będziemy bębniły,0.29458182849776926,V;FUT;1;PL
bębnić,będziesz bębniła,0.3299877498131777,V;FUT;2;SG;FEM
bębnić,będziesz bębnił,0.34003718328305443,V;FUT;2;SG;MASC
bełtać,będą bełtali,0.17785759731888606,V;FUT;3;PL;MASC;HUM
bełtać,będą bełtały,0.2120912346157693,V;FUT;3;PL
bełtać,będę bełtała,0.18840944808555304,V;FUT;1;SG;FEM
bełtać,będę bełtał,0.22683301632207076,V;FUT;1;SG;MASC
bełtać,będzie bełtała,0.22381867481981543,V;FUT;3;SG;FEM
bełtać,będzie bełtało,0.2329241512987288,V;FUT;3;SG;NEUT
bełtać,będzie bełtał,0.28233983531170936,V;FUT;3;SG;MASC
bełtać,będziecie bełtali,0.16085707315890252,V;FUT;2;PL;MASC;HUM
bełtać,będziecie bełtały,0.19040634431079506,V;FUT;2;PL
bełtać,będziemy bełtali,0.11150702697572401,V;FUT;1;PL;MASC;HUM
bełtać,będziemy bełtały,0.1445083974296263,V;FUT;1;PL
bełtać,będziesz bełtała,0.1933558471806739,V;FUT;2;SG;FEM
bełtać,będziesz bełtał,0.2345570912018582,V;FUT;2;SG;MASC
bełtać,bełtacie,0.5262965811262833,V;PRS;2;PL
bełtać,bełtają,0.4185556114911606,V;PRS;3;PL
bełtać,bełtałam,0.512635984368658,V;PST;1;SG;FEM
bełtać,bełtałaś,0.4982299358595701,V;PST;2;SG;FEM
bełtać,bełtała,0.5999692279760394,V;PST;3;SG;FEM
bełtać,bełtałem,0.4675660668499533,V;PST;1;SG;MASC
bełtać,bełtałeś,0.48709437373530484,V;PST;2;SG;MASC
bełtać,bełtaliście,0.42326974594841005,V;PST;2;PL;MASC;HUM
bełtać,bełtaliśmy,0.3768489432199199,V;PST;1;PL;MASC;HUM
bełtać,bełtali,0.4725502700266486,V;PST;3;PL;MASC;HUM
bełtać,bełtało,0.6059335089564624,V;PST;3;SG;NEUT
bełtać,bełtał,0.74978531820682,V;PST;3;SG;MASC
bełtać,bełtałyście,0.4042304185569041,V;PST;2;PL
bełtać,bełtałyśmy,0.44363857984594035,V;PST;1;PL
bełtać,bełtały,0.548644330247005,V;PST;3;PL
bełtać,bełtam,0.3871160488371199,V;PRS;1;SG
bełtać,bełtamy,0.44273501563161366,V;PRS;1;PL
bełtać,bełtasz,0.5162382413289631,V;PRS;2;SG
bełtać,bełta,0.7495449830016585,V;PRS;3;SG
betonować,będą betonowali,0.43149915704050845,V;FUT;3;PL;MASC;HUM
betonować,będą betonowały,0.42383742065096097,V;FUT;3;PL
betonować,będę betonowała,0.4979927463875139,V;FUT;1;SG;FEM
betonować,będę betonował,0.4861246463691631,V;FUT;1;SG;MASC
betonować,będzie betonowała,0.44485272472414294,V;FUT;3;SG;FEM
betonować,będzie betonowało,0.4332876523177188,V;FUT;3;SG;NEUT
betonować,będzie betonował,0.44456990179893374,V;FUT;3;SG;MASC
betonować,będziecie betonowali,0.40573577374710124,V;FUT;2;PL;MASC;HUM
betonować,będziecie betonowały,0.3926945115070102,V;FUT;2;PL
betonować,będziemy betonowali,0.41593161524430566,V;FUT;1;PL;MASC;HUM
betonować,będziemy betonowały,0.40149653507174543,V;FUT;1;PL
betonować,będziesz betonowała,0.45838977597665087,V;FUT;2;SG;FEM
betonować,będziesz betonował,0.45379469961222074,V;FUT;2;SG;MASC
betonować,betonowałam,0.5749669739626612,V;PST;1;SG;FEM
betonować,betonowałaś,0.5481696618379002,V;PST;2;SG;FEM
betonować,betonowała,0.6330167414439065,V;PST;3;SG;FEM
betonować,betonowałem,0.6147692257310305,V;PST;1;SG;MASC
betonować,betonowałeś,0.5505591802078186,V;PST;2;SG;MASC
betonować,betonowaliście,0.5609555299408465,V;PST;2;PL;MASC;HUM
betonować,betonowaliśmy,0.6018023792824198,V;PST;1;PL;MASC;HUM
betonować,betonowali,0.6447043785026262,V;PST;3;PL;MASC;HUM
betonować,betonowało,0.6230495055553454,V;PST;3;SG;NEUT
betonować,betonował,0.6473570501705178,V;PST;3;SG;MASC
betonować,betonowałyście,0.4908960995546454,V;PST;2;PL
betonować,betonowałyśmy,0.5325961888618251,V;PST;1;PL
betonować,betonowały,0.6356729680048436,V;PST;3;PL
betonować,betonują,0.5697228122366738,V;PRS;3;PL
betonować,betonujecie,0.5257639857124796,V;PRS;2;PL
betonować,betonujemy,0.5675055848033563,V;PRS;1;PL
betonować,betonujesz,0.5304781918499379,V;PRS;2;SG
betonować,betonuję,0.5017444730418044,V;PRS;1;SG
betonować,betonuje,0.5908276539867916,V;PRS;3;SG
biegać,będą biegali,0.3175306972764389,V;FUT;3;PL;MASC;HUM
biegać,będą biegały,0.30069101266162157,V;FUT;3;PL
biegać,będę biegała,0.30984371905918495,V;FUT;1;SG;FEM
biegać,będę biegał,0.27934685078034494,V;FUT;1;SG;MASC
biegać,będzie biegała,0.3128879482449578,V;FUT;3;SG;FEM
biegać,będzie biegało,0.2834002921307788,V;FUT;3;SG;NEUT
biegać,będzie biegał,0.29577766371210235,V;FUT;3;SG;MASC
biegać,będziecie biegali,0.3217221510383753,V;FUT;2;PL;MASC;HUM
biegać,będziecie biegały,0.3068221022091355,V;FUT;2;PL
biegać,będziemy biegali,0.27715161639004293,V;FUT;1;PL;MASC;HUM
biegać,będziemy biegały,0.260761836550085,V;FUT;1;PL
biegać,będziesz biegała,0.2693591412280951,V;FUT;2;SG;FEM
biegać,będziesz biegał,0.24875194961247737,V;FUT;2;SG;MASC
biegać,biegacie,0.4432907119596916,V;PRS;2;PL
biegać,biegają,0.6325704634216882,V;PRS;3;PL
biegać,biegałam,0.6125096522305135,V;PST;1;SG;FEM
biegać,biegałaś,0.5175670305262116,V;PST;2;SG;FEM
biegać,biegała,0.5773365919295751,V;PST;3;SG;FEM
biegać,biegałem,0.5553253314873561,V;PST;1;SG;MASC
biegać,biegałeś,0.46795272012856537,V;PST;2;SG;MASC
biegać,biegaliście,0.4283834468766978,V;PST;2;PL;MASC;HUM
biegać,biegaliśmy,0.5147459350398558,V;PST;1;PL;MASC;HUM
biegać,biegali,0.5622091429641207,V;PST;3;PL;MASC;HUM
biegać,biegało,0.5327887287736613,V;PST;3;SG;NEUT
biegać,biegał,0.6069109641356507,V;PST;3;SG;MASC
biegać,biegałyście,0.4506751832103111,V;PST;2;PL
